类别,方剂名称,组成（原方剂量 + 现代参考量）,用法,功用,主治,证治机理,方解（君臣佐使）,配伍特点,运用（辨证要点 + 禁忌）
和解剂?调和肝脾,逍遥散,甘草微炙赤，半两（4.5g）、当归去苗锉微炒、茯苓去皮白者、芍药白者、白术、柴胡去苗各一两（各 9g）,加生姜 3 片，薄荷 6g，水煎服；丸剂每服 6～9g，日 2 次,疏肝解郁，养血健脾,肝郁血虚脾弱证：两胁作痛，头痛目眩，口燥咽干，神疲食少，或月经不调,肝气郁结，条达失司，肝郁血虚，郁而化火，肝木乘脾，脾胃虚弱,君：柴胡；臣：当归、白芍；佐：白术、茯苓、甘草、薄荷、生姜；使：柴胡、甘草,疏柔合法，肝脾同调，气血兼顾,辨证要点：两胁作痛、神疲食少、月经不调、脉弦而虚；阴虚火旺者慎用
和解剂?调和肝脾,痛泻要方,炒白术三两（9g）、炒芍药二两（6g）、炒陈皮两半（4.5g）、防风一两（3g）,水煎服,补脾柔肝，祛湿止泻,脾虚肝郁之痛泻：肠鸣腹痛，大便泄泻，泻必腹痛，泻后痛缓,土虚木乘，肝脾不和，脾运失常，肝失疏泄，气机失调,君：白术；臣：白芍；佐：陈皮；使：防风,补脾柔肝，寓疏于补，扶土抑木,辨证要点：肠鸣腹痛、泻必腹痛、泻后痛缓、左弦右缓；湿热泄泻者禁用
和解剂?调和寒热,半夏泻心汤,半夏洗，半升（12g）、黄芩、干姜、人参各三两（各 9g）、黄连一两（3g）、大枣擘，十二枚（4 枚）、甘草炙，三两（9g）,水煎服,寒热平调，散结除痞,寒热互结之痞证：心下痞，但满而不痛，或呕吐，肠鸣下利,小柴胡汤证误用攻下，损伤中阳，少阳邪热乘虚内陷，寒热互结，中气虚弱，升降失常,君：半夏；臣：干姜、黄芩、黄连；佐：人参、大枣；使：甘草,寒热平调以和阴阳，辛开苦降以调气机，补泻兼施以顾虚实,辨证要点：心下痞满、呕吐泻利、苔腻微黄；阴虚火旺者慎用
和解剂?和解少阳,蒿芩清胆汤,青蒿脑钱半至二钱（4.5～6g）、淡竹茹三钱（9g）、仙半夏钱半（4.5g）、赤茯苓三钱（9g）、青子芩钱半至三钱（4.5～9g）、生枳壳钱半（4.5g）、陈广皮钱半（4.5g）、碧玉散（滑石、甘草、青黛）包，三钱（9g）,水煎服,清胆利湿，和胃化痰,少阳湿热痰浊证：寒热如疟，寒轻热重，口苦膈闷，吐酸苦水，或呕黄涎而黏,湿遏热郁，阻于少阳胆与三焦，三焦气机不畅，胆火炽盛，胆热犯胃，液郁为痰,君：青蒿、黄芩；臣：竹茹、枳壳、半夏、陈皮；佐使：赤茯苓、碧玉散,芳香清透以畅少阳之枢机，苦燥降利以化湿郁之痰浊,辨证要点：寒热如疟、寒轻热重、胸胁胀痛、吐酸苦水、舌红苔腻脉弦滑数
和解剂?和解少阳,达原饮,槟榔二钱（6g）、厚朴一钱（3g）、草果仁五分（1.5g）、知母一钱（3g）、芍药一钱（3g）、黄芩一钱（3g）、甘草五分（1.5g）,水煎服,开达膜原，辟秽化浊,瘟疫或疟疾，邪伏膜原证：憎寒壮热，发无定时，胸闷呕恶，头痛烦躁，舌苔垢腻,瘟疫秽浊毒邪伏于膜原，膜原为半表半里，邪正相争，秽浊内侵，气机阻滞,君：槟榔；臣：厚朴、草果；佐：白芍、知母、黄芩；使：甘草,苦温芳化与苦寒清热之中少佐酸甘，透达膜原而不伤阴,辨证要点：憎寒壮热、舌红苔垢腻如积粉
解表剂?辛温解表,香苏散,香附子炒香去毛、紫苏叶各四两（12g）、甘草炙，一两（3g）、陈皮不去白，二两（6g）,作汤剂，水煎服,疏散风寒，理气和中,外感风寒气郁不舒证：恶寒身热，头痛无汗，胸脘痞闷，不思饮食,外感风寒，卫阳被遏；内兼气滞,君：苏叶；臣：香附；佐：陈皮；使：甘草,辛温疏表与理气行滞相伍，表里同治，重在解表,辨证要点：恶寒发热、头痛无汗、胸脘痞闷、苔薄白、脉浮
解表剂?辛温解表,小青龙汤,麻黄去节，三两（9g）、芍药三两（9g）、细辛三两（3g）、干姜三两（6g）、甘草炙，三两（6g）、桂枝去皮，三两（9g）、五味子半升（9g）、半夏洗，半升（9g）,水煎服,解表散寒，温肺化饮,外寒内饮证：恶寒发热无汗，喘咳痰涎清稀量多，胸痞,外感风寒，表寒引动内饮，水寒相搏，肺失宣降,君：麻黄、桂枝；臣：干姜、细辛；佐：半夏、五味子、芍药；使：甘草,辛散与酸收相配，散中有收；温化与敛肺相伍，开中有合,辨证要点：恶寒发热、无汗、喘咳、痰多清稀、舌苔白滑、脉浮
解表剂?辛温解表,止嗽散,桔梗炒、荆芥、紫菀蒸、百部蒸、白前蒸各二斤（各 12g）、甘草炒十二两（4g）、陈皮水洗去白一斤（6g）,作汤剂，水煎服,宣利肺气，疏风止咳,风邪犯肺之咳嗽证：咳嗽咽痒，咯痰不爽，或微恶风发热,风邪犯肺，肺失清肃；或表解不彻，余邪未尽,君：紫菀、百部；臣：桔梗、白前；佐：荆芥、陈皮；使：甘草,温润平和，不寒不热；重在治肺，兼解表邪,辨证要点：咳嗽咽痒、微恶风发热、苔薄白
清热剂?清气分热,白虎汤,石膏碎，一斤（50g）、知母六两（18g）、甘草炙，二两（6g）、粳米六合（9g）,水煎，米熟汤成，温服,清热生津,气分热盛证：壮热面赤，烦渴引饮，汗出恶热，脉洪大有力,伤寒化热内传阳明经，或温邪由卫及气，肺胃热盛，热炽伤津,君：石膏；臣：知母；佐：粳米、炙甘草；使：炙甘草,重用辛寒清气，伍以苦寒质润，少佐甘温和中，清不伤阴，寒不伤中,辨证要点：大热、大汗、大渴、脉洪大；禁忌：表不解、无汗者禁用，脉浮弦而细、脉沉者禁用
清热剂?清气分热,竹叶石膏汤,竹叶二把（6g）、石膏一斤（50g）、半夏洗，半升（9g）、麦门冬去心，一升（20g）、人参二两（6g）、甘草炙，二两（6g）、粳米半升（10g）,水煎服,清热生津，益气和胃,伤寒、温病、暑病余热未清，气阴两伤证：身热多汗，心胸烦闷，气逆欲呕，口干喜饮，虚羸少气,热病后期，余热未清，气阴两伤，胃气不和，热邪留恋气分，耗伤气津,君：石膏；臣：人参、麦冬；佐：半夏、竹叶、粳米；使：甘草,辛甘大寒与甘寒甘温合为清补之剂，清而不寒，补而不滞,辨证要点：身热多汗、气逆欲呕、烦渴喜饮、舌红少津、脉虚数；虚寒呕吐者禁用
清热剂?清营凉血,清营汤,水牛角 30g（代犀角）、生地黄五钱（15g）、元参三钱（9g）、竹叶心一钱（3g）、麦冬三钱（9g）、丹参二钱（6g）、黄连一钱五分（5g）、银花三钱（9g）、连翘连心用，二钱（6g）,作汤剂，水牛角镑片先煎，后下余药,清营解毒，透热养阴,热入营分证：身热夜甚，神烦少寐，时有谵语，目常喜开或喜闭，口渴或不渴，斑疹隐隐,邪热内传营分，耗伤营阴，营气通于心，热扰心营，营热波及血分,君：水牛角；臣：生地黄、麦冬、玄参；佐：银花、连翘、竹叶、黄连、丹参；使：无,辛苦甘寒以滋养清解，透热转气以入营清散,辨证要点：身热夜甚、神烦少寐、斑疹隐隐、舌绛而干、脉数；禁忌：舌白滑者禁用
清热剂?清营凉血,犀角地黄汤,水牛角 30g（代犀角）、生地黄半斤（24g）、芍药三分（9g）、丹皮一两（12g）,作汤剂，水煎服，水牛角镑片先煎,清热解毒，凉血散瘀,热入血分证：身热谵语，斑色紫黑，或吐血、衄血、便血、尿血，舌深绛起刺，脉数,热毒深入血分，动血耗血，热与血结，扰乱心神，迫血妄行,君：水牛角；臣：生地黄；佐：芍药、丹皮；使：无,咸苦甘寒，直入血分，清中有养，凉血散血,辨证要点：各种失血、斑色紫黑、神昏谵语、舌绛；脾胃虚寒者慎用
清热剂?清热解毒,黄连解毒汤,黄连三两（9g）、黄芩二两（6g）、黄柏二两（6g）、栀子十四枚（9g）,水煎服,泻火解毒,三焦火毒证：大热烦躁，口燥咽干，错语不眠；或热病吐血、衄血；或热甚发斑,三焦火毒炽盛，热扰心神，灼伤津液，迫血妄行，热毒外发肌肤，下注肠道,君：黄连；臣：黄芩、黄柏；佐使：栀子,苦寒直折，三焦并清，泻火解毒,辨证要点：大热烦躁、口燥咽干、舌红苔黄、脉数有力；脾胃虚寒者禁用，阴虚火旺者慎用
清热剂?清热解毒,凉膈散,川大黄、朴硝、甘草炙各二十两（各 60g）、山栀子仁、薄荷叶、黄芩各十两（各 30g）、连翘二斤半（125g）,水煎服，芒硝溶服,泻火通便，清上泄下,上中二焦邪郁生热证：烦躁口渴，面赤唇焦，胸膈烦热，口舌生疮，或咽痛吐衄，便秘溲赤,上中二焦邪郁生热，热聚胸膈，灼伤津液，气机不畅，热邪上炎，下移肠道,君：连翘；臣：黄芩、栀子、薄荷；佐：大黄、芒硝；使：甘草、蜂蜜,清上与泄下并行，泻热通便，清上泄下，以清上为主,辨证要点：烦躁口渴、胸膈烦热、口舌生疮、便秘溲赤、舌红苔黄脉滑数；孕妇慎用
清热剂?清热解毒,普济消毒饮,黄芩、黄连各五钱（各 15g）、陈皮去白、甘草生用、玄参、柴胡、桔梗各二钱（各 6g）、连翘、板蓝根、马勃、牛蒡子、薄荷各一钱（各 3g）、僵蚕、升麻各七分（各 2g）,水煎服,清热解毒，疏风散邪,大头瘟：恶寒发热，头面红肿焮痛，目不能开，咽喉不利，舌燥口渴，舌红苔白兼黄,风热疫毒之邪侵袭肺胃，上攻头面，气机阻滞，热毒蕴结，灼伤津液,君：黄芩、黄连；臣：连翘、玄参、板蓝根、马勃、牛蒡子；佐：薄荷、僵蚕、升麻、柴胡、桔梗、陈皮；使：甘草,清热解毒与疏风散邪并重，升降并用，清疏兼施,辨证要点：头面红肿焮痛、恶寒发热、舌红苔黄、脉浮数有力；阴虚火旺者慎用
清热剂?气血两清,清瘟败毒饮,生石膏大剂六两至八两（240～320g）、中剂二两至四两（80～160g）、小剂八钱至一两（24～30g），小生地大剂六钱至一两（18～30g）、中剂三钱至五钱（9～15g）、小剂二钱至四钱（6～12g），水牛角大剂六钱至八钱（18～24g）、中剂三钱至五钱（9～15g）、小剂二钱至四钱（6～12g），黄连大剂四钱至六钱（12～18g）、中剂二钱至四钱（6～12g）、小剂一钱至一钱半（3～4.5g），栀子、桔梗、黄芩、知母、赤芍、玄参、连翘、竹叶、甘草、丹皮各适量,先煮石膏数十沸，后下诸药，水牛角镑片先煎,清热解毒，凉血泻火,瘟疫热毒，气血两燔证：大热渴饮，头痛如劈，干呕狂躁，谵语神昏，或发斑，或吐血、衄血,瘟疫热毒炽盛，深入气营血分，气血两燔，热扰心神，迫血妄行，热极生风,君：生石膏、水牛角；臣：黄连、黄芩、栀子、生地、玄参、丹皮、赤芍；佐：知母、连翘、桔梗、竹叶；使：甘草,气血两清，三焦并治，苦寒直折，甘寒滋阴，清热泻火与凉血解毒并重,辨证要点：大热渴饮、头痛如劈、谵语神昏、舌绛唇焦、脉沉数；阴虚体质者慎用
清热剂?清脏腑热,导赤散,生地黄、木通、生甘草梢各等分（各 6g）,水煎服，加竹叶 3g,清心利水养阴,心经火热证：心胸烦热，口渴面赤，意欲饮冷，以及口舌生疮；或心热移于小肠，小便赤涩刺痛,心经火热，灼伤津液，心火下移小肠，心与小肠相表里，心火循经下移,君：生地黄；臣：木通；佐：竹叶；使：生甘草梢,清心与利水并用，滋阴与清热兼顾，使清热而不伤阴，利水而不伤正,辨证要点：心胸烦热、口舌生疮、小便赤涩刺痛、舌红脉数；脾胃虚寒者慎用
清热剂?清脏腑热,龙胆泻肝汤,龙胆草酒炒，六分（6g）、黄芩炒，一钱（9g）、栀子酒炒，一钱（9g）、泽泻一钱（12g）、木通一钱（6g）、车前子一钱（9g）、当归酒洗，三分（3g）、生地黄酒炒，一钱（9g）、柴胡一钱（6g）、甘草生用，六分（6g）,水煎服；或制成丸剂，每服 6～9g，日 2 次,清泻肝胆实火，清利肝经湿热,肝胆实火上炎证；肝经湿热下注证：阴肿，阴痒，小便淋浊，带下黄臭,肝胆实火上炎，或肝经湿热循经下注，肝胆互为表里，肝火旺盛，湿热内蕴,君：龙胆草；臣：黄芩、栀子；佐：泽泻、木通、车前子、当归、生地、柴胡；使：甘草,苦寒清利，泻中寓补，降中寓升，以适肝性,辨证要点：口苦溺赤、舌红苔黄、脉弦数有力；阴虚火旺者禁用，孕妇慎用
清热剂?清脏腑热,左金丸,黄连六两（18g）、吴茱萸一两（3g）,为丸剂，每服 6g，日 2 次；或作汤剂，水煎服,清泻肝火，降逆止呕,肝火犯胃证：胁肋胀痛，嘈杂吞酸，呕吐口苦，舌红苔黄，脉弦数,肝火犯胃，肝失疏泄，胃失和降，肝火旺盛，横逆犯胃,君：黄连；臣：吴茱萸；使：无,苦辛并用，寒热错杂，以苦为主，辛为佐使，肝胃同治，泻火而不凉遏，降逆而不助火,辨证要点：胁肋胀痛、嘈杂吞酸、呕吐口苦、舌红苔黄脉弦数；脾胃虚寒者禁用
清热剂?清脏腑热,泻白散,地骨皮、桑白皮炒，各一两（各 15g）、甘草炙，一钱（3g）,水煎服，加粳米 10g,清泻肺热，平喘止咳,肺热喘咳证：气喘咳嗽，皮肤蒸热，日晡尤甚，舌红苔黄，脉细数,肺热壅盛，肺失清肃，肺气上逆，肺热灼伤津液，热伏肺中，外蒸肌肤,君：桑白皮；臣：地骨皮；佐：粳米、甘草；使：甘草,清中有润，泻中有补，清泻肺热而不伤阴，润肺止咳而不恋邪,辨证要点：气喘咳嗽、皮肤蒸热、日晡尤甚、舌红苔黄脉细数；肺寒咳嗽者禁用
清热剂?清脏腑热,清胃散,生地黄三分（6g）、当归身三分（6g）、牡丹皮半钱（9g）、黄连六分（6g，夏月倍之）、升麻一钱（9g）,水煎服,清胃凉血,胃火牙痛：牙痛牵引头痛，面颊发热，其齿喜冷恶热，或牙宣出血，或牙龈红肿溃烂,胃火炽盛，循经上炎，灼伤血络，胃火熏蒸牙龈，气血壅滞,君：黄连；臣：升麻；佐：生地黄、当归身、牡丹皮；使：升麻,苦寒清泻与升散并用，清胃热而不伤阴，凉血热而不留瘀,辨证要点：牙痛、齿喜冷恶热、牙龈红肿溃烂、舌红苔黄脉滑数；阴虚火旺者慎用
清热剂?清脏腑热,玉女煎,石膏三至五钱（9～15g）、熟地三至五钱或一两（9～15g 或 30g）、麦冬二钱（6g）、知母、牛膝各一钱半（各 4.5g）,水煎服,清胃热，滋肾阴,胃热阴虚证：头痛，牙痛，齿松牙衄，烦热干渴，舌红苔黄而干；亦治消渴，消谷善饥等,胃热阴虚，胃火上炎，灼伤牙龈，肾阴不足，不能上济于胃，胃热耗伤肾阴,君：石膏；臣：熟地；佐：知母、麦冬、牛膝；使：无,清胃热与滋肾阴并用，虚实兼顾，清中有补，补中有清，以清为主,辨证要点：牙痛、烦热干渴、舌红苔黄而干、脉细数；脾胃虚寒者禁用
清热剂?清脏腑热,芍药汤,芍药一两（30g）、当归半两（15g）、黄连半两（15g）、槟榔二钱（6g）、木香二钱（6g）、甘草二钱（6g）、大黄三钱（6g）、黄芩三钱（9g）、官桂一钱（5g）,水煎服,清热燥湿，调气和血,湿热痢疾：腹痛，便脓血，赤白相兼，里急后重，肛门灼热，小便短赤，苔黄腻，脉弦数,湿热壅滞肠中，气血失调，传导失司，湿热下注肠道，气机阻滞，血行不畅,君：黄芩、黄连；臣：芍药、当归、木香、槟榔；佐：大黄、官桂；使：甘草,主以苦燥，辅以甘柔，佐温于寒，气血同调，通因通用,辨证要点：痢下赤白、腹痛里急、苔腻微黄、脉弦数；虚寒痢疾者禁用
清热剂?清脏腑热,白头翁汤,白头翁二两（15g）、黄柏三两（9g）、黄连三两（9g）、秦皮三两（9g）,水煎服,清热解毒，凉血止痢,热毒痢疾：腹痛，里急后重，肛门灼热，下痢脓血，赤多白少，渴欲饮水，舌红苔黄，脉弦数,热毒深陷血分，熏灼肠道，气血壅滞，传导失司，热毒损伤肠络，血溢脉外,君：白头翁；臣：黄连、黄柏；佐：秦皮；使：无,苦寒直折，清热解毒与凉血止痢并重，清解之中寓有收涩,辨证要点：下痢脓血、赤多白少、肛门灼热、舌红苔黄脉弦数；虚寒痢疾者禁用
清热剂?清虚热,青蒿鳖甲汤,青蒿二钱（6g）、鳖甲五钱（15g）、细生地四钱（12g）、知母二钱（6g）、丹皮三钱（9g）,水煎服,养阴透热,温病后期，邪伏阴分证：夜热早凉，热退无汗，舌红苔少，脉细数,温病后期，阴液已伤，余邪深伏阴分，阴分本虚，邪热内伏，正邪交争于阴分,君：青蒿、鳖甲；臣：生地、知母；佐：丹皮；使：无,滋中有清，清中有透，邪正兼顾，先入后出,辨证要点：夜热早凉、热退无汗、舌红少苔、脉细数；阴虚火旺者慎用
清热剂?清虚热,清骨散,银柴胡一钱五分（5g）、胡黄连、秦艽、鳖甲醋炙、地骨皮、青蒿、知母各一钱（各 3g）、甘草五分（2g）,水煎服,清虚热，退骨蒸,肝肾阴虚，虚火内扰证：骨蒸潮热，或低热日久不退，形体消瘦，唇红颧赤，困倦盗汗,肝肾阴虚，虚火内扰，阴液耗伤，虚火内生，熏蒸骨骼，外泄肌肤,君：银柴胡；臣：胡黄连、地骨皮、知母；佐：秦艽、青蒿、鳖甲；使：甘草,清虚热与滋阴并用，清退虚热为主，滋阴为辅，标本兼顾,辨证要点：骨蒸潮热、形体消瘦、盗汗、舌红少苔、脉细数；脾胃虚寒者禁用
清热剂?清虚热,当归六黄汤,当归、生地黄、黄芩、黄柏、黄连、熟地黄各等分（各 6g）、黄芪加一倍（12g）,水煎服,滋阴泻火，固表止汗,阴虚火旺盗汗：发热盗汗，面赤心烦，口干唇燥，大便干结，小便黄赤，舌红苔黄，脉数,阴虚火旺，虚火内生，灼伤津液，迫津外泄，阴虚不能制阳，阳亢生热,君：当归、生地黄、熟地黄；臣：黄芩、黄连、黄柏；佐使：黄芪,滋阴与泻火并用，益气与固表兼顾，标本同治，以滋阴泻火为主，益气固表为辅,辨证要点：发热盗汗、面赤心烦、口干唇燥、舌红苔黄脉数；脾胃虚寒者禁用
祛暑剂?祛暑解表,香薷散,香薷一斤（12g）、白扁豆微炒、厚朴姜制，各半斤（各 6g）,水煎服，加酒少许,祛暑解表，化湿和中,阴暑：恶寒发热，头重身痛，无汗，胸闷，舌苔白腻，脉浮,夏月乘凉饮冷，外感风寒，内伤湿滞，寒邪束表，卫阳被遏，湿邪内阻，气机不畅,君：香薷；臣：厚朴；佐：白扁豆；使：酒,辛温解表与化湿和中并用，表里同治，以解表为主，化湿为辅,辨证要点：恶寒发热、头重身痛、无汗胸闷、舌苔白腻、脉浮；阳暑者禁用
祛暑剂?祛暑利湿,六一散,滑石六两（18g）、甘草一两（3g）,为散剂，每服 6～9g，日 2～3 次，温开水送服；或作汤剂，水煎服,清暑利湿,暑湿证：身热烦渴，小便不利，或泄泻；亦治痱子、湿疹，小便黄少,暑热夹湿，暑热伤津，湿阻气机，暑热内盛，灼伤津液，湿邪阻滞，膀胱气化不利,君：滑石；臣：甘草,清热与利湿并用，清暑而不伤正，利湿而不耗津，药性平和,辨证要点：身热烦渴、小便不利、舌红苔白或黄、脉滑数；阴虚火旺者慎用
祛暑剂?祛暑益气,清暑益气汤,西洋参 5g、石斛 15g、麦冬 9g、黄连 3g、竹叶 6g、荷梗 15g、知母 6g、甘草 3g、粳米 15g、西瓜翠衣 30g,水煎服,清暑益气，养阴生津,暑热气津两伤证：身热汗多，口渴心烦，小便短赤，体倦少气，精神不振，脉虚数,暑热内盛，耗伤气津，暑热灼伤津液，耗伤元气，暑热扰心，气机不畅,君：西瓜翠衣、西洋参；臣：石斛、麦冬、黄连、竹叶、荷梗；佐：知母；使：甘草、粳米,清暑、益气、养阴三法并用，清暑热而不伤阴，益气养阴而不恋邪,辨证要点：身热汗多、口渴心烦、体倦少气、脉虚数；脾胃虚寒者禁用
温里剂?温中祛寒,理中丸,人参、干姜、白术、炙甘草各三两（各 9g）,为丸剂，每服 6～9g，日 2～3 次；或作汤剂，水煎服,温中祛寒，补气健脾,脾胃虚寒证：脘腹疼痛，喜温喜按，呕吐泄泻，脘痞食少，畏寒肢冷，口淡不渴，舌淡苔白，脉沉细,脾胃虚寒，运化失常，寒邪内生，脾胃阳气不足，温煦失职，运化无力，水湿内停,君：干姜；臣：人参；佐：白术；使：炙甘草,温中与补气并用，温而不燥，补而不滞，标本兼顾，以温中为主，补气为辅,辨证要点：脘腹疼痛、喜温喜按、呕吐泄泻、畏寒肢冷、舌淡苔白脉沉细；阴虚火旺者禁用
温里剂?温中祛寒,小建中汤,桂枝去皮，三两（9g）、芍药六两（18g）、炙甘草二两（6g）、生姜切，三两（9g）、大枣擘，十二枚（6g）、饴糖一升（30g）,水煎服，饴糖烊化,温中补虚，和里缓急,中焦虚寒，肝脾不和证：脘腹拘急疼痛，喜温喜按，神疲乏力，虚怯少气；或心中悸动，虚烦不宁,中焦虚寒，肝脾不和，脾胃阳气不足，温煦失职，肝失疏泄，气机不畅，气血不足,君：饴糖；臣：桂枝、芍药；佐：生姜、大枣；使：炙甘草,温中与补虚并用，和里与缓急兼顾，辛甘化阳，酸甘化阴，阴阳双补，以温中为主,辨证要点：脘腹拘急疼痛、喜温喜按、神疲乏力、舌淡苔白脉细弦；阴虚火旺者禁用
温里剂?温中祛寒,吴茱萸汤,吴茱萸洗，一升（9g）、人参三两（9g）、生姜切，六两（18g）、大枣擘，十二枚（4 枚）,水煎服,温中补虚，降逆止呕,胃寒呕吐证；肝寒上逆证：干呕，吐涎沫，头痛（巅顶痛甚）；肾寒上逆证：呕吐下利，手足厥冷,胃寒失和，肝寒上逆，肾寒上逆，脾胃虚寒，升降失常，肝寒循经上逆，肾寒循经上逆,君：吴茱萸；臣：生姜；佐：人参；使：大枣,温中与降逆并用，补虚与散寒兼顾，标本同治，以温中降逆为主，补虚散寒为辅,辨证要点：呕吐、头痛（巅顶痛）、手足厥冷、舌淡苔白滑、脉沉弦；阴虚火旺者禁用
温里剂?温中祛寒,大建中汤,蜀椒去汗，二合（6g）、干姜四两（12g）、人参二两（6g）,水煎服，胶饴烊化,温中补虚，降逆止痛,中阳衰弱，阴寒内盛证：脘腹剧痛，连及心胸，腹中寒气上下攻冲，疼痛不可触近，呕不能食,中阳衰弱，阴寒内盛，寒邪凝滞，气机阻滞，脾胃阳气不足，温煦失职，寒邪内盛,君：干姜；臣：蜀椒；佐：人参；使：胶饴,温中与补虚并用，散寒与止痛兼顾，药性峻猛，温阳散寒之力强,辨证要点：脘腹剧痛、疼痛不可触近、呕不能食、舌苔白滑、脉沉迟；阴虚火旺者禁用
温里剂?回阳救逆,四逆汤,附子生用，去皮，破八片，一枚（15g）、干姜一两半（6g）、甘草炙，二两（6g）,水煎服，附子先煎 30～60 分钟,回阳救逆,少阴病，心肾阳衰寒厥证：四肢厥逆，恶寒蜷卧，神衰欲寐，面色苍白，腹痛下利，呕吐不渴,心肾阳衰，阴寒内盛，阳气衰微，不能温煦四肢，寒邪内盛，气机阻滞，运化失常,君：附子；臣：干姜；佐使：炙甘草,辛热峻猛，回阳救逆，温中散寒，补气温中，标本同治，以回阳为主,辨证要点：四肢厥逆、恶寒蜷卧、神衰欲寐、面色苍白、脉微细；阴虚火旺者禁用，孕妇慎用
温里剂?回阳救逆,回阳救急汤,熟附子三钱（9g）、干姜三钱（9g）、人参三钱（9g）、白术三钱（9g）、茯苓三钱（9g）、陈皮三钱（9g）、甘草二钱（6g）、五味子二钱（6g）、半夏三钱（9g）、麝香三厘（0.1g）,水煎服，麝香冲服,回阳救急，益气生脉,寒邪直中三阴，真阳衰微证：四肢厥冷，恶寒蜷卧，腹痛吐泻，神衰欲寐，或身寒战栗，唇指青紫,寒邪直中三阴，真阳衰微，阳气衰微，不能温煦四肢，寒邪内盛，气机阻滞，运化失常，气血不足,君：熟附子、干姜；臣：人参、白术、茯苓、甘草；佐：陈皮、半夏、五味子；使：麝香,回阳与益气并用，散寒与化痰兼顾，标本同治，以回阳救急为主，益气生脉为辅,辨证要点：四肢厥冷、恶寒蜷卧、腹痛吐泻、神衰欲寐、脉沉微；阴虚火旺者禁用
温里剂?温经散寒,当归四逆汤,当归三两（12g）、桂枝三两（9g）、芍药三两（9g）、细辛三两（3g）、甘草炙，二两（6g）、通草二两（6g）、大枣擘，二十五枚（12g）,水煎服,温经散寒，养血通脉,血虚寒厥证：手足厥寒，或腰、股、腿、足、肩臂疼痛，口不渴，舌淡苔白，脉沉细或细而欲绝,血虚受寒，寒凝血滞，气血不足，寒邪凝滞，经脉不畅，四肢失温，气血运行不畅,君：当归、桂枝；臣：芍药、细辛；佐：通草、大枣；使：炙甘草,温经与养血并用，散寒与通脉兼顾，标本同治，以温经散寒为主，养血通脉为辅,辨证要点：手足厥寒、肢体疼痛、舌淡苔白、脉沉细；阴虚火旺者禁用
温里剂?温经散寒,黄芪桂枝五物汤,黄芪三两（9g）、芍药三两（9g）、桂枝三两（9g）、生姜六两（12g）、大枣擘，十二枚（4 枚）,水煎服,益气温经，和血通痹,血痹，肌肤麻木不仁，脉微涩而紧,气虚血滞，感受风邪，气虚不能温煦血脉，血滞不能濡养肌肤，风邪侵袭，经脉阻滞,君：黄芪；臣：桂枝、芍药；佐：生姜、大枣；使：无,益气与温经并用，和血与通痹兼顾，标本同治，以益气为主，温经和血为辅,辨证要点：肌肤麻木不仁、脉微涩而紧；阴虚火旺者禁用
温里剂?温经散寒,暖肝煎,当归二钱（6g）、枸杞子三钱（9g）、小茴香二钱（6g）、肉桂一钱（3g）、乌药二钱（6g）、沉香一钱（3g）、茯苓二钱（6g）,水煎服,温补肝肾，行气止痛,肝肾不足，寒滞肝脉证：睾丸冷痛，或小腹疼痛，疝气痛，畏寒喜暖，舌淡苔白，脉沉迟,肝肾不足，寒滞肝脉，肝肾阳虚，温煦失职，寒邪凝滞，气机阻滞，经脉不畅,君：肉桂、小茴香；臣：当归、枸杞子；佐：乌药、沉香、茯苓；使：无,温补与行气并用，标本同治，以温补肝肾为主，行气止痛为辅,辨证要点：睾丸冷痛、畏寒喜暖、舌淡苔白、脉沉迟；阴虚火旺者禁用
清热剂?清气分热,白虎汤,石膏碎，一斤（50g）、知母六两（18g）、甘草炙，二两（6g）、粳米六合（9g）,水煎，米熟汤成，温服,清热生津,气分热盛证：壮热面赤，烦渴引饮，汗出恶热，脉洪大有力,伤寒化热内传阳明经，或温邪由卫及气，肺胃热盛，热炽伤津,君：石膏；臣：知母；佐：粳米、炙甘草；使：炙甘草,重用辛寒清气，伍以苦寒质润，少佐甘温和中，清不伤阴，寒不伤中,辨证要点：大热、大汗、大渴、脉洪大；禁忌：表不解、无汗者禁用，脉浮弦而细、脉沉者禁用
清热剂?清营凉血,清营汤,水牛角 30g（代犀角）、生地黄五钱（15g）、元参三钱（9g）、竹叶心一钱（3g）、麦冬三钱（9g）、丹参二钱（6g）、黄连一钱五分（5g）、银花三钱（9g）、连翘连心用，二钱（6g）,作汤剂，水牛角镑片先煎，后下余药,清营解毒，透热养阴,热入营分证：身热夜甚，神烦少寐，时有谵语，目常喜开或喜闭，口渴或不渴，斑疹隐隐,邪热内传营分，耗伤营阴，营气通于心，热扰心营，营热波及血分,君：水牛角；臣：生地黄、麦冬、玄参；佐：银花、连翘、竹叶、黄连、丹参；使：无,辛苦甘寒以滋养清解，透热转气以入营清散,辨证要点：身热夜甚、神烦少寐、斑疹隐隐、舌绛而干、脉数；禁忌：舌白滑者禁用
