id,name,catalog,desc,gain,use,propetype,pic,
682,半边莲,（桔梗科）,多年生蔓生草本。茎细长，折断时有黏性乳汁渗出，直立或匍匐，绿色，多节，节上有互生的叶或枝，匍匐茎节上附生细小不定根。叶绿色，多数呈披针形，少数长卵圆形，叶缘具疏锯齿。花单生于叶腋，有细长的花柄，花冠浅紫色，下部筒状，一侧开裂，上部5裂，裂片倒披针形，偏向一方①，花冠喉部裂片连线处有绿色的小凸起物，花冠筒内壁密生毛茸，雄蕊5枚，聚药，花丝下半部分离，雌蕊1枚，子房下位，花桩细柱形，柱头2裂。蒴果，基部锐尖。种子细小，椭圆形，微扁。花期5～8月。生长于稻田岸畔，沟边或潮溼的荒地。分布于我国长江中、下游及以南各省区。,多于夏季采收，带根拔起，洗净，晒干或阴干。,带根全草入药，味甘、性平。利水，消肿，解毒。治黄疸，水肿，鼓胀，泄泻，痢疾，疔疮，肿毒，溼疹，癣疾，跌打扭伤肿痛。,,.\pic\med\半边莲_1.jpeg,2026/3/27 7:43
683,云南重楼,（百合科）,多年生直立草本。叶轮生茎顶，4~9片，通常为7片，长椭圆形或椭圆状披针形，先端渐尖或短尖，全缘，基部楔形，膜质或薄纸质，绿色。花单生顶端，花梗青紫色或紫红色，外列被片绿色①，叶状，4~7片，长卵形至卵状披针形，内列被片与外列同数，黄色或黄绿色，线形，雄蕊数与花被片同，子房上位，花柱短，胚珠每室多数。蒴果球形，熟时黄褐色，3~6瓣裂，内含多数鲜红色卵形种子。花期4~7月。果期8~11月。主要分布于我国云南、贵州、四川等省。,秋季采挖，除去须根，洗净，晒干。,根状茎入药。苦，微寒，有小毒。清热解毒，消肿止痛，凉肝定惊。用于疔疮痈肿，咽喉肿痛，蛇虫咬伤，跌扑伤痛，惊风抽搐。,,.\pic\med\云南重楼_1.jpeg,2026/3/27 7:43
684,贯众,（鳞毛蕨科）,多年生草本。根茎粗壮，斜生，有较多坚硬的叶柄残基及黑色细根，密被深褐色、长披针形的大鳞片。叶簇生于根茎顶端；叶柄基部以上直达叶轴密生棕色条形至钻形狭鳞片，叶片草质，倒披针形，二回羽状全裂或深裂；羽片无柄，裂片密接，长圆形，圆头或圆截头，近全缘或先端有钝锯齿①；上面深绿色，下面淡绿色，侧脉羽状分叉。孢子叶与营养叶同形，孢子囊群着生于叶中部以上的羽片上，生于叶背小脉中部以下，囊群盖肾形或圆肾形，棕色。生于林下沼地。分布于我国黑龙江、吉林、辽宁、河北等地。,秋、冬二季采挖。除去须根，洗净，切片，晒干。,根茎入药。苦、涩，寒。杀虫，清热，解毒，凉血止血。用于风热感冒，温热癍疹，吐血，咯血，衄血，便血，崩漏，血痢，带下及肠寄生虫病。,,.\pic\med\贯众_1.jpeg,2026/3/27 7:43
685,穿心莲,（爵床科）,一年生草本植物，全株味极苦。茎直立，多分枝，具四稜，节稍膨大。叶对生①，卵状矩圆形至矩圆形披针形，先端渐尖，基部楔形，全缘或浅波状，上面深绿色，下面灰绿色，叶柄短或近无柄。圆锥花序顶生或腋生；花萼5深裂，花冠淡紫白色，脣形②，上脣外弯，2齿裂，下脣直立，3浅裂，雄蕊2枚，子房2室。蒴果长椭圆形，花期8~9月，果期10月。生于溼热的平原、丘陵地区。主要产于广东、福建。现长江南北各地均引种栽培。,开花现蕾时采收最佳或栽培后75~90天，从茎基部分枝2~3节的地方，割取全草。,全草入药。味苦，性寒。清热解毒，凉血，消肿，燥溼。用于感冒发热，咽喉肿痛，口舌生疮，顿咳劳嗽，泄泻痢疾，热淋涩痛，痈肿疮疡，毒蛇咬伤。,,.\pic\med\穿心莲_1.jpeg,2026/3/27 7:43
686,野凤仙花,（凤仙花科）,多年生草本。茎直立，多分枝，紫红色，有毛。叶互生，叶片卵形、卵状椭圆形或椭圆状披针形，先端尖，基部圆形，边缘有圆齿状锯齿①。总状花序腋生；萼片2枚，花瓣5枚，淡紫色或紫红色②，子房纺锤形，直立。蒴果角果状，长纺锤形。花期6~7月。生于山林、水洼及流水边潮溼处。分布于我国东北以至西南各地。,7~10月采收，鲜用或晒干。,全草入药。性寒，味苦。清凉，解毒，敛疮，去腐。用于恶疮溃疡。,,.\pic\med\野凤仙花_1.jpeg,2026/3/27 7:43
687,百日菊,（菊科）,一年生草本。茎直立，被糙毛或长硬毛。叶宽卵圆形或长圆状椭圆形，基部稍心形抱茎，两面粗糙，下面被密的短糙毛，基出三脉。头状花序单生枝端①。总苞宽锺状；总苞片多层，宽卵形或卵状椭圆形，边缘黑色。托片上端有延伸的舌状花深红色、玫瑰色、紫堇色或白色②，舌片倒卵圆形，先端2~3齿裂或全缘，上面被短毛，下面被长柔毛。管状花黄色或橙色，先端裂片卵状披针形，上面被黄褐色密茸毛。雌花瘦果倒卵圆形，管状花瘦果倒卵状楔形，顶端有短齿。花期6~10月，果期7~10月。原产墨西哥，著名的观赏植物，在我国各地栽培很广，有时成为野生。在云南、四川西南部有引种。,花期采收全草，晒干。,全草入药。味苦、辛，性凉。清热，利溼，解毒。用于治疗溼热痢疾，淋证，乳痈，疖肿。,,.\pic\med\百日菊_1.jpeg,2026/3/27 7:43
688,山丁子,（蔷薇科）,半常绿乔木或灌木，树干灰褐色①，光滑，新梢黄褐色，无毛，嫩梢绿色微带红褐。单叶互生，叶片椭圆形，叶缘锯齿细锐②。伞房花序，花瓣白色、浅红至艳红色，果实近球形③，红或黄色，果柄长为果实的3~4倍。分布于我国辽宁、吉林、黑龙江、内蒙古、河北、山西、山东、陕西、甘肃、蒙古、朝鲜、俄罗斯西伯利亚等地亦有分布。,春季采摘山丁子的嫩叶，晒干后泡水代茶喝，挂果期长，可多次采摘。一般采摘其八成熟的果实。,果实入药。味甘酸、性凉。生津、利痰、健脾、解酒。果实成熟后可直接食用。也是酿酒和调制纯绿色饮品的最佳原料，适用于加工果脯、蜜饯和清凉饮料。,,.\pic\med\山丁子_1.jpeg,2026/3/27 7:43
689,金钮釦,（菊科）,多年生草本。茎带紫红色。单叶对生①，广卵形，先端锐尖，基部广楔形，边缘有浅粗锯齿，基出脉3条。头状花序，顶生或腋生；花小，深黄色。总苞片2列，长卵形；舌状花黄色或白色②，管状花两性，结实；总苞片2片。瘦果，3稜形或背向压扁，沿角上常有毛，顶冠以芒刺2~3条或无芒刺。花期夏季。生于林下、路边、荒地。分布于我国福建、台湾、广东、四川、云南等地。,以全草入药，全年可采，鲜用或晒干。,全草入药。辛，温。解毒利溼，止咳定喘，消肿止痛。用于疟疾，牙痛，肠炎，痢疾，咳嗽，哮喘，百日咳，肺结核。外用治毒蛇咬伤，狗咬伤，痈疖肿毒。,,.\pic\med\金钮釦_1.jpeg,2026/3/27 7:43
690,半边旗,（凤尾蕨科）,多年生草本。根茎短，匍匐，密被狭披针形、黑褐色鳞片。叶疏生；叶柄粗壮，直立，深褐色，或近基部呈黑色，光亮，裸净与叶轴同；叶近革质，两面无毛，卵状披针形；一回羽状分裂，上部羽状深裂达于叶轴，裂片线形或椭圆形，劲直或呈镰形，全缘，基部下延；下部约在2/3处有近对生的半羽状羽片4~8对，疏生，顶端长尖，全缘，上缘不分裂，下缘深裂达于中脉，裂片线形或镰形，基部下延；叶脉明显，单出或分枝。孢子囊群线形，连续排列于叶缘，子囊群盖线形，膜质。生于林下、溪边或墙上等阴溼地。分布于我国华东、华南、西南及台湾等地。,四季可采，洗净鲜用或晒干。,全草入药。味微苦、辛，性凉。功能清热解毒，消肿，止血。用于治溼热泻痢、黄疸、目赤肿痛、痈肿疮疖、毒蛇咬伤、跌打肿痛、龋齿疼痛及吐血、外伤性出血等症。,,.\pic\med\半边旗_1.jpeg,2026/3/27 7:43
691,山杨,（杨柳科）,乔木，高达25m。树皮光滑，灰绿色或灰白色①，老树基部黑色粗糙；小枝圆筒形，赤褐色。叶三角状卵圆形或近圆形，边缘有密波状浅齿②。花序轴有疏毛或密毛；苞片棕褐色，雄花序长5~9cm，雄蕊5~12枚，花葯紫红色；雌花序长4~7cm；子房圆锥形，柱头2深裂，带红色。蒴果卵状圆锥形，2瓣裂。花期3~4月，果期4~5月。分布广泛，我国北自黑龙江、内蒙古、吉林、华北、西北、华中及西南高山地区均有分布，垂直分布自东北低山海拔1200m以下，到青海2600m以下，湖北西部、四川中部、云南在海拔2000~3800m。多生于山坡、山脊和沟谷地带。,树皮春季剥取。,树皮入药。苦、辛，平。凉血解毒，清热止咳，驱虫。主治高血压、肺热咳嗽，蛔虫病。外用治秃疮疥癣。,,.\pic\med\山杨_1.jpeg,2026/3/27 7:43
692,泥胡菜,（菊科）,一年生草本。茎单生，被稀疏蛛丝毛，上部常分枝。基生叶长椭圆形或倒披针形，花期常枯萎；中下部茎叶与基生叶同形，全部叶大头羽状深裂①，有时全部茎叶不裂或下部茎叶不裂，全部茎叶质地薄，两面异色，上面绿色，下面灰白色，被厚或薄绒毛，基生叶及下部茎叶有长叶柄，柄基扩大抱茎，上部茎叶的叶柄渐短，最上部茎叶无柄。头状花序在茎枝顶端排成疏松伞房花序。小花紫色或红色。瘦果小，楔状或偏斜楔形。花果期3~8月。生于海拔50~3280m的山坡、山谷、平原、丘陵，林缘、林下、草地、荒地、田间、河边、路旁等处。除新疆、西藏外，遍布全国。,夏、秋采集，洗净、晒干。,全草入药，辛，平。清热解毒，活血消肿。用于治疗乳腺炎，颈淋巴结炎，痈肿疔疮，风疹瘙痒。,,.\pic\med\泥胡菜_1.jpeg,2026/3/27 7:43
693,委陵菜,（蔷薇科）,多年生草本，根肥大，圆锥状。茎直立，密生灰白色绵毛。单数羽状复叶，基生叶有小叶8~11对，小叶狭长椭圆形。花多数，顶生，呈伞房状聚伞花序①;花萼5裂，副萼5片。花瓣5，黄色②，倒卵状圆形。瘦果卵圆形，褐色，包于宿存花萼内。花期6~8月。果期8~10月。生于海拔400~3200m的山坡、草地、沟谷、林缘、灌丛及疏林下。分布于我国东北、华北、中南、西南及陕西、甘肃、山东、江苏、安徽、浙江、江西、台湾、西藏等地。,4~10月采收。将带根全草除去花枝及果枝，晒干。或将地上部分茎叶全部除去，仅用其根。,全草入药，苦，寒。清热解毒，凉血止痛。用于赤痢腹痛，久痢不止，痔疮出血，痈肿疮毒。,,.\pic\med\委陵菜_1.jpeg,2026/3/27 7:43
694,苦菜,（菊科）,多年生草本。有乳汁。地下茎匍匐，地上茎直立，圆柱形，光滑，下部常带紫色。叶灰绿色，基生叶有短柄，茎生叶无柄；叶片矩圆形或矩圆状披针形，长8~20厘米，宽1~3厘米，具稀疏缺刻或羽状浅裂。头状花序顶生，单生或排成伞房状。总苞锺状，花为舌状，黄色，舌片条形。瘦果矩圆形，冠毛白色。花期7月至翌年3月；果期8~10月至翌年4月。生长于路边及田野间，我国大部地区均有分布。,春夏秋均可采收，鲜用或晒干。,全草入药。苦，寒；清热，凉血，解毒，明目，和胃，止咳。用于治痢疾，黄疸，血淋，痔瘻，疔肿，蛇咬伤，咳嗽，支气管炎，疳积。,,.\pic\med\苦菜_1.jpeg,2026/3/27 7:43
695,鬼针草,（菊科）,一年生草本植物，茎直立，钝四稜形①。茎下部叶较小，3裂或不分裂，通常在开花前枯萎，中部叶具长柄，三出，小叶3枚，上部叶小，3裂或不分裂，条状披针形。头状花序，苞片7~8枚，无舌状花。瘦果黑色，条形，略扁，具稜，上部具稀疏瘤状突起及刚毛，顶端芒刺3~4枚，具倒刺毛。花果期8~10月份。生于海拔50~3100m的路边荒地、山坡及田间，我国大部分地区均有。,夏秋间釆收全草，除去泥土，晒干。,全草入药。味甘、淡、苦，性微寒。清热解毒，散瘀消肿。用于阑尾炎，肾炎，胆囊炎，肠炎，细菌性痢疾，肝炎，腹膜炎，上呼吸道感染，扁桃体炎，喉炎，闭经，烫伤，毒蛇咬伤，跌打损伤，面板感染，小儿惊风、疳积等症。,,.\pic\med\鬼针草_1.jpeg,2026/3/27 7:43
696,野苋菜,（苋科）,一年生草本植物。茎直立或伏卧。叶互生，全缘，有柄。花单性或杂性，雌雄同株或异株，排成无梗的花簇，生于叶腋，或组成腋生或顶生的穗状花序，雄蕊通常与花被同数，花柱极短。胞果卵球形，种子扁球形，黑色或褐色，平滑有光泽。生长在丘陵、平原地区的路边、河堤、沟岸、田间、地埂等处，中国南北各地都有分布。,夏季叶子生长茂盛时采收，除去杂质，晒干用或鲜用。,全草入药。甘、淡，微寒。清热利溼。用于细菌性痢疾，肠炎，乳腺炎，痔疮肿痛。本品药食两用，是常见的绿色蔬菜之一。,,.\pic\med\野苋菜_1.jpeg,2026/3/27 7:43
697,灰菜,（藜科）,一年生草本植物。茎直立粗壮，具绿色或紫红色的条纹，多分枝。单叶互生，有长叶柄，叶片菱状卵形或披针形，先端急尖或微钝，基部宽楔形，边缘常有不整齐的锯齿①，下面灰绿色。秋季开黄绿色小花，花两性，数个整合团伞花簇，多数花簇排成腋生或顶生的圆锥花序，花被5片，雄蕊5个，柱头两裂。胞果完全包于花被内或顶端稍露，果皮薄和种子紧贴。种子双凸镜形，光亮。生于田间、地头、坡上、沟涧，乃至城市中的荒僻幽落，在中国的华南、华北、东北，西南、东南等各地区均有生长。,夏季采收，切段晒干用或鲜用。,全草入药。甘，平。有小毒。清热利溼，止痒透疹。用于风热感冒，痢疾，腹泻，龋齿痛；外用治面板瘙痒，麻疹不透。本品为药食两用。,,.\pic\med\灰菜_1.jpeg,2026/3/27 7:43
698,无梗五加,（五加科）,灌木或小乔木，树皮暗灰色或灰黑色①；枝灰色，无刺或疏生刺。叶有小叶3~5②，小叶片倒卵形或长圆状倒卵形至长圆状披针形，边缘有不整齐锯齿，头状花序紧密，球形；花萼密生白色绒毛，边缘有5小齿，花瓣5，浓紫色，子房2室。果实倒卵状椭圆球形，黑色。花期8~9月，果期9~10月。生于海拔200~1000m的森林或灌丛中。分布于黑龙江、吉林、辽宁、河北和山西，朝鲜也有分布。,叶：春季采收，鲜用。根：春秋采挖，剥皮切段，晒干备用。果：9~10月果熟时采收，鲜用或晒干。,①叶：嫩叶及芽入药，味微苦、甘，性凉。清热利溼。用于溼热泄泻，痢疾，水肿。②根：根皮入药，甘、苦，平。健胃，利水，祛风除溼，活血止痛。用于胃、十二指肠溃疡，慢性胃炎，肝炎，糖尿病，风溼性关节炎，水肿。③果：味辛；下乳。,,.\pic\med\无梗五加_1.jpeg,2026/3/27 7:43
699,火焰草,（玄蔘科）,一年生或二年生草本。全株被腺毛。茎直立，较纤细，有多数斜上分枝，基部略木质化。叶互生；叶片正三角形或三角状卵形，先端钝或急尖，基部宽楔形至截形，全缘。总状聚伞花序，花多数；萼片5，披针形至长圆形，花瓣5，黄色，披针状长圆形，雄蕊10，2轮，较花瓣短，心皮5，先端突狭成短花柱。蓇葖果，上部略叉开，基部合生。种子长圆状卵形，有纵纹，淡褐色。花期6~8月，果期8~9月。生于山坡或山谷石缝中。分布于我国辽宁、河北、山西、陕西、甘肃、山东、台湾、河南、湖北、湖南、四川、贵州、云南等地。,夏季采收，晒干。,全草入药。微苦。清热解毒，凉血止血。用于热毒疮疡，乳痈，丹毒，无名肿毒，水火烫伤，咽喉肿痛，牙龈炎，血热吐血，咯血，鼻衄，外伤出血。,,.\pic\med\火焰草_1.jpeg,2026/3/27 7:43
700,一年蓬,（菊科）,二年生本草，被平展粗毛。茎直立，上部分枝。基生叶丛生，叶片卵形或倒卵状披针形，先端尖或钝，基部狭窄下延，边缘有不规则粗齿，茎生叶披针形或条状披针形，叶柄向上渐短至无柄。秋季开白带紫色的花①，头状花序排列成伞房状圆锥花序，分枝处有条形、全缘并具有缘毛的苞片。头状花序，总苞半球形；舌状花2至数层，条形，管状花具有冠毛2层，内层冠毛与管等长，外层冠毛短。瘦果被毛。生于路边、旷野山坡上。分布于我国山东、江苏、浙江、安徽、江西、湖北等地。,夏、秋季采收，洗净，鲜用或晒干。,全草入药。味甘、苦，性凉。清热解毒，抗疟。用于急性胃肠炎，疟疾。外用治齿龈炎，蛇咬伤。,,.\pic\med\一年蓬_1.jpeg,2026/3/27 7:43
701,蝇子草,（石竹科）,多年生草本。根圆柱形，粗而长。茎单生或簇生，基部稍带本质，中部以上多分枝。具柔毛或近于无毛，节膨大。单叶对生，叶片披针形或倒披针形，先端尖，基部窄缩成短柄，全缘。3~10朵成聚伞花序；萼长管形，光滑，脉多条，常带紫红色，先端5裂；花瓣5枚，粉红色或白色，基部成爪，瓣片2裂①，每裂片更细裂成窄条，喉部有2小鳞片；雄蕊10枚；子房上位，花柱3枚。蒴果长圆形，上部略膨大而下部狭小，呈棍棒状，成熟时先端6齿裂。种子有瘤状突起。花期7~9月，果期9~10月。生于山坡、林下及杂草丛中。分布于我国华北、西北及长江流域以南各地。,夏、秋季采集，洗净，鲜用或晒干。,全草入药。辛、涩，凉。清热利溼，活血解毒。用于痢疾，肠炎，热淋，带下，咽喉肿痛，劳伤发热，跌打损伤，毒蛇咬伤。,,.\pic\med\蝇子草_1.jpeg,2026/3/27 7:43
702,小山飘风,（景天科）,一年生或二年生草本，全株无毛。花茎常分枝，直立或上升。叶对生，或3~4轮生，宽卵形、卵圆形至圆形，先端圆，基部急狭，全缘，有柄。伞房花序①，萼片5枚，披针状三角形，花瓣5枚，紫色，雄蕊10枚，心皮5；蓇葖有种子3~4粒；种子倒卵形，棕色。生于海拔800~2000米的山坡林下。分布于我国云南、四川、湖北、浙江、江苏、陕西、河南。,夏季采收，晒干。,全草入药。酸、涩，寒。清热解毒，活血止痛。用于月经不调、劳伤腰痛、鼻血、烧伤、外伤出血、疗痈等。,,.\pic\med\小山飘风_1.jpeg,2026/3/27 7:43
703,凤丫蕨,（裸子蕨科）,多年生草本。根状茎长而横走，被淡褐色鳞片。叶疏生，叶柄稻秆色，除基部外无毛，背部有沟；叶片卵圆形，一回羽状复叶，下部羽片为二回羽状复叶；羽片5对，线状长椭圆形;先端长渐尖，基部有短柄，楔形，下延，边缘有微锯齿；叶纸质，无毛，叶脉在近羽轴处形成网眼，其他为平行脉。孢子囊群沿叶脉着生①，不具囊群盖。生于海拔200~500m林下和山谷阴溼之处。,夏、秋采收全草，冬季挖取根茎，洗净，晒干。,根茎或全草入药。味辛、微苦，性凉。祛风清热，活血解毒。①根茎入药用于目赤肿痛，眉稜骨痛，风溼关节痛，闭经。②全草入药用于治乳痈，肿痛。,,.\pic\med\凤丫蕨_1.jpeg,2026/3/27 7:43
704,地黄,（玄蔘科）,多年生草本，高20~40cm。全株被长柔毛及腺毛，根肉质肥厚，微带黄色①。叶基生成丛，倒卵状披针形②，基部渐狭成柄，边缘有不整齐钝齿，叶面皱缩，下面略带紫色。花萼锺状，花冠筒状而微弯，外面紫红色，内面黄色有紫斑③，子房2室，中轴胎座，花后渐变为1室近侧膜胎座。蒴果球形或卵圆形，具宿萼和花柱。生于山坡、田埂、路旁。主产于我国河南、辽宁、河北、山东、浙江，多栽培。,秋季采挖，除去芦头、须根及泥沙，鲜用，称「鲜地黄」；或将地黄缓缓烘焙至约八成干，称「生地黄」；将生地黄蒸至黑润，晒至八成干，称「熟地黄」。,根茎入药。鲜地黄甘、苦，寒；归心、肝、肾经；清热凉血，生津润燥；用于急性热病，高热神昏，斑疹，津伤烦渴，血热妄行之吐血、衄血、崩漏、便血，口舌生疮，咽喉肿痛，劳热咳嗽，跌打伤痛，痈肿。生地黄甘、寒；归心、肝、肾经；清热凉血，养阴生津；用于热病舌绛烦渴，阴虚内热，骨蒸劳热，内热消渴，吐血，衄血，发斑发疹。熟地黄甘、微温；归肝、肾经；滋阴补血，益精填髓；用于肝肾阴虚，腰膝痠软，骨蒸潮热，盗汗遗精，内热消渴，血虚萎黄，心悸怔忡，月经不调，崩漏下血，眩晕耳鸣，须发早白。,,.\pic\med\地黄_1.jpeg,2026/3/27 7:43
705,玄蔘,（玄蔘科）,多年生大型草本，高达2m。根数条，纺锤形，干后变黑色①。茎方形。叶下部对生，上部有时互生，叶片卵形至披针形。聚伞花序合成大而疏散的圆锥花序，花萼5裂几达基部；花冠褐紫色②，管部多少壶状，上部5裂，上脣长于下脣；2强雄蕊，退化雄蕊近于圆形。蒴果卵形。生于溪边、山坡林下及草丛中。分布于云南、四川、贵州、湖北、广西、安徽等地。,冬季茎叶枯萎时采挖，除去根茎、幼芽、须根及泥沙，晒或烘至半干，堆放3~6 日，反覆数次至干燥。,根入药。甘、苦、咸，微寒。归肺、胃、肾经。凉血滋阴，泻火解毒。用于热病伤阴，舌绛烦渴，温毒发斑，津伤便祕，骨蒸劳嗽，目赤，咽痛，瘰癧，白喉，痈肿疮毒。,,.\pic\med\玄蔘_1.jpeg,2026/3/27 7:43
706,北玄蔘,（玄蔘科）,多年生草本，高70~150cm。根呈圆柱形，有纵皱纹，表面灰褐色，有细根及细根痕。叶较小，叶片卵形至长卵形。聚伞花序紧缩成穗状，小聚伞花序无总花梗，常互生而不成轮，萼裂片卵形，花冠黄绿色①。蒴果卵形。生于山野溼地。分布于东北及山西、内蒙古、河北、山东等地。,冬季茎叶枯萎时采挖，除去根茎、幼芽、须根及泥沙，晒或烘至半干，堆放3~6日，反覆数次至干燥。,根入药。甘、苦、咸，微寒。归肺、胃、肾经。凉血滋阴，泻火解毒。用于热病伤阴，舌绛烦渴，温毒发斑，津伤便祕，骨蒸劳嗽，目赤，咽痛，瘰癧，白喉，痈肿疮毒。,,.\pic\med\北玄蔘_1.jpeg,2026/3/27 7:43
707,千屈菜,（千屈菜科）,多年生草本，高40~120cm。茎通常四稜形，被毛。叶对生或三叶轮生，宽披针形。总状花序顶生；花瓣6枚，紫红色①，具短爪，稍皱缩；雄蕊12枚，6长6短，伸出萼筒。蒴果扁圆形。多生长在沼泽地、水旁溼地和河边、沟边。分布于全国各地。,秋季采收全草，洗净晒干。,全草入药。苦，寒。归大肠、肝二经。清热凉血，收敛止泻。用于痢疾，血崩，溃疡，肠炎，便血，外伤出血。,,.\pic\med\千屈菜_1.jpeg,2026/3/27 7:43
708,马兰,（菊科）,多年生草本，高30~80cm。地下有细长根状茎，匍匐平卧，白色有节。初春仅有基生叶，茎不明显，初夏地上茎增高，基部绿带紫红色，光滑无毛。单叶互生近无柄，叶片倒卵形、椭圆形至披针形①。头状花序呈疏伞房状，总苞半球形，边缘舌状花，紫色，内部管状花，黄色②。瘦果扁平倒卵状，冠毛较少，弱而易脱落。生于丘陵、低矮山坡疏林下、林缘及路边草丛中。分布于我国华东、华中、华南、华北、西南及台湾等地。,夏秋季采收为佳，洗净，晒干。,全草入药。辛、苦，寒。归肝、肾、胃、大肠经。败毒抗癌，凉血散瘀，清热利溼，消肿止痛。用于感冒发烧，咳嗽，急性咽炎，扁桃体炎，流行性腮腺炎，传染性肝炎，胃、十二指肠溃疡，小儿疳积，肠炎，痢疾，吐血，崩漏，月经不调；外用治疮疖肿痛，乳腺炎，外伤出血。,,.\pic\med\马兰_1.jpeg,2026/3/27 7:43
709,牡丹,（芍药科）,多年生落叶小灌木，高0.5~2m。叶互生，通常为三回三出复叶，枝上部常为单叶，小叶片有披针、卵圆、椭圆等形状，顶生小叶常为2~3裂①，花单生于当年枝顶，两性，花大色艳，正常花的雄蕊多数，结子力强，雌蕊瓣化严重的花②，结子少而不实或不结子，完全花雄蕊离生，心皮一般5枚，各有瓶状子房一室，边缘胎座，多数胚珠。蓇葖果。生于海拔1500m左右的山坡和林缘地带。分布于我国山西、陕西、河南、甘肃、湖北、湖南、四川、安徽等地。,秋季采挖根部，除去细根和泥沙，剥取根皮，晒干。,根入药，中药名为「牡丹皮」。苦、辛，微寒。归心、肝、肾经。清热凉血，活血化瘀。用于温毒发斑，吐血衄血，夜热早凉，无汗骨蒸，经闭痛经，痈肿疮毒，跌扑伤痛。,,.\pic\med\牡丹_1.jpeg,2026/3/27 7:43
710,芍药,（毛茛科）,"多年生草本，高40~70cm，无毛。根黑褐色。茎直立，上部分枝，基部有数枚鞘状膜质鳞片。叶互生,茎下部叶为二回三出复叶，上部叶为三出复叶；小叶两面无毛，近革质。花两性，花萼4枚绿色，宿存；花瓣9~13枚，白色，有时基部具深紫色斑块或粉红色，栽培品花瓣各色并具重瓣；雄蕊多数，花葯黄色；花盘浅杯状。蓇葖果卵形或卵圆形，花期5~6月，果期6~8月。生于山坡草地和林下。分布于我国东北、华北、陕西及甘肃。",①8~9月采挖，去除地上部分及泥土，晾晒至半干时，捆成小捆，晒至足干，此加工方法的根为中药赤芍。② 9~10月采挖栽培3~4年生的根，除去地上茎及泥土，水洗，放入开水中煮5~15分钟至无硬心，用竹刀刮去外皮，晒干或切片晒干，此加工方法的根为中药白芍。,根入药。①赤芍，苦，微寒。清热凉血，活血祛瘀。主治温毒发斑，吐血衄血，肠风下血，目赤肿痛，痈肿疮疡，闭经，痛经，崩带淋浊，瘀滞胁痛，症瘕积聚，跌扑损伤。②白芍，苦、酸，微寒。养血和营；缓急止痛；敛阴平肝。主治月经不调，经行腹痛，崩漏，自汗，盗汗，胁肋脘腹疼痛，四肢挛痛，头痛，眩晕。,,.\pic\med\芍药_1.jpeg,2026/3/27 7:43
711,内蒙紫草,（紫草科）,多年生草本，高10~35cm。根圆锥形或圆柱形，外皮紫褐色，常呈片状剥离。茎直立，通常由基部分枝，密被开展的长硬毛和短伏毛①。叶无柄，互生，两面密生白色长硬毛。镰状聚伞花序，花冠鲜黄色，筒状钟形，花柱稍超过花冠筒之半，柱头球形。小坚果4枚，淡黄褐色，有小疣状突起。花期6~8月，果期8~10月。生于荒漠草原、戈壁、向阳石质山坡、湖滨砾石砂地。分布于我国内蒙古、河北北部、宁夏、甘肃西部、新疆、西藏。,春、秋两季采挖，除去泥沙，晒干。,根入药，中药名为「紫草」。苦，寒。凉血，活血，透疹，解毒。主治斑疹，麻疹，吐血，衄血，尿血，紫癜，黄疸，痈疽，烫伤。,,.\pic\med\内蒙紫草_1.jpeg,2026/3/27 7:43
712,新疆紫草,（紫草科）,多年生草本，高15~40cm。全株被白色或淡黄色长硬毛①。根部常与数个侧根扭卷在一起，外皮暗红紫色。茎直立，基部有残存叶基形成的茎鞘。基生叶丛生，先端短渐尖，基部无鞘状，无叶柄。镰状聚伞花序密集于茎上叶腋；花两性，花萼短筒状，两面均密生淡黄色硬毛；花冠筒状钟形，紫色或淡紫色；雄蕊5枚，花丝短或无。小坚果褐色。花期6~7月，果期8~9月。生于海拔2500~4200m的砾石山坡、草地及草甸处。分布于我国新疆、甘肃及西藏西部。,春、秋两季采挖，除去泥沙，晒干。,根入药，中药名为「紫草」。苦，寒。凉血，活血，透疹，解毒。主治斑疹，麻疹，吐血，衄血，尿血，紫癜，黄疸，痈疽，烫伤。,,.\pic\med\新疆紫草_1.jpeg,2026/3/27 7:43
713,紫草,（紫草科）,多年生草本，高50~90cm。根粗大，全株密被白色粗硬毛①。单叶互生，无柄，两面均被糙伏毛。聚伞花序总状，花小，两性；苞片两面有粗毛；花萼5枚深裂近基部，裂片线形；花冠白色，筒状；雄蕊5枚，花柱线形，柱头球状。小坚果灰白色或淡黄褐色，平滑，有光泽。种子4颗。花期6~8月，果期8~9月。生于向阳山坡草地、灌丛或林缘。分布于我国东北地区及河北、河南、山西、陕西、宁夏、甘肃、青海、山东、江苏、安徽、江西、湖北、湖南、广西、四川、贵州等地。,春、秋两季采挖，除去泥沙，晒干。,根入药。苦，寒。凉血，活血，透疹，解毒。主治斑疹，麻疹，吐血，衄血，尿血，紫癜，黄疸，痈疽，烫伤。,,.\pic\med\紫草_1.jpeg,2026/3/27 7:43
